x, y, qz, qw
0.0, 0.0, 0.0, 0.999
8.06, -1.11, 0.3109, 0.9504
6.40, 5.82, 0.8168, 0.5768
9.19, 10.61, -0.7081, 0.7060
5.04, -1.68, -0.7485, 0.6631
4.57, -7.69, 0.9428, -0.3331
2.57, -13.40, -0.0118, 0.9999
4.55, -7.72, 0.6899, 0.7238
4.85, -2.46, 0.8529, 0.5220
0.0, 0.0, 0.9987, -0.05
